bot,points,wins,draws,losses,games
tabounv6,11.0,11,0,1,12
tabounv7,11.0,11,0,1,12
tabounv5,6.0,5,2,5,12
tabounv4,5.5,4,3,5,12
tabounv3,5.0,4,2,6,12
tabounv2,3.0,2,2,8,12
tabounv1,0.5,0,1,11,12
